wavelength,flux
706.4,0.205193408
707.1,0.193276112
707.7,0.19814374
708.4,0.206368353
709.1,0.192436866
709.7,0.185555047
710.4,0.189339284
711,0.193199817
711.7,0.189476616
712.4,0.190865187
713,0.180595865
713.7,0.190758373
714.3,0.18473106
715,0.184425879
715.7,0.179924468
716.3,0.184074922
717,0.17708629
717.6,0.168953231
718.3,0.170082399
719,0.16225452
719.6,0.164055085
720.3,0.146446174
720.9,0.139976349
721.6,0.12888304
722.3,0.12747921
722.9,0.12747921
723.6,0.126166934
724.2,0.140800336
724.9,0.149528496
725.6,0.149879454
726.2,0.140449378
726.9,0.130607309
727.5,0.125922789
728.2,0.125114061
728.9,0.13106508
729.5,0.130958267
730.2,0.126792554
730.8,0.128425269
731.5,0.122657359
732.2,0.121650263
732.8,0.123908598
733.5,0.126578927
734.1,0.128165866
734.8,0.132575723
735.5,0.135841154
736.1,0.126762036
736.8,0.129645991
737.4,0.121848631
738.1,0.126609445
738.8,0.132194247
739.4,0.124961471
740.1,0.123069352
740.8,0.131202411
741.4,0.130881971
742.1,0.127799649
742.7,0.118308537
743.4,0.12279469
744.1,0.118598459
744.7,0.11843061
745.4,0.11467689
746,0.114142824
746.7,0.124518959
747.4,0.112433814
748,0.115012589
748.7,0.116569009
749.4,0.117881285
750,0.112662699
750.7,0.109885557
751.3,0.111747158
752,0.114692149
752.7,0.106147097
753.3,0.10079118
754,0.106559091
754.7,0.105414664
755.3,0.10329366
756,0.108603799
756.6,0.106177615
757.3,0.107642481
758,0.101874571
758.6,0.1054757
759.3,0.091406882
760,0.097922484
760.6,0.095694667
761.3,0.09690013
761.9,0.080084688
762.6,0.065283436
763.3,0.045431449
763.9,0.034307622
764.6,0.026815442
765.3,0.030965896
765.9,0.041143664
766.6,0.037801938
767.2,0.03652018
767.9,0.039709316
768.6,0.048498512
769.2,0.050527962
769.9,0.06256733
770.6,0.073035019
771.2,0.080496681
771.9,0.07863508
772.5,0.078116274
773.2,0.08254139
773.9,0.077444877
774.5,0.074911879
775.2,0.078909743
775.9,0.081168078
776.5,0.069250782
777.2,0.074042115
777.8,0.073996338
778.5,0.08098497
779.2,0.074728771
779.8,0.080099947
780.5,0.074957656
781.2,0.070013733
781.8,0.067907988
782.5,0.070914015
783.1,0.070303655
783.8,0.068548867
784.5,0.068564126
785.1,0.069266041
785.8,0.072882429
786.5,0.072104219
787.1,0.062826734
787.8,0.063849088
788.4,0.068884565
789.1,0.066504158
789.8,0.059958038
790.4,0.061697566
791.1,0.062719921
791.8,0.064871443
792.4,0.063055619
793.1,0.060522622
793.7,0.062811475
794.4,0.055654994
795.1,0.064276341
795.7,0.061514458
796.4,0.056707866
797.1,0.05711986
797.7,0.058401617
798.4,0.04962768
799.1,0.060110628
799.7,0.056936751
800.4,0.058081178
801.1,0.063757534
801.7,0.056082246
802.4,0.059530785
803.1,0.055227741
803.7,0.057333486
804.4,0.047155718
805.1,0.05711986
805.7,0.057333486
806.4,0.048178073
807.1,0.049169909
807.7,0.048590066
808.4,0.050131228
809.1,0.050283818
809.7,0.050070192
810.4,0.047766079
811.1,0.047857633
811.7,0.043508812
812.4,0.051260395
813.1,0.04587396
813.7,0.054693675
814.4,0.05180972
815.1,0.043997101
815.7,0.04727779
816.4,0.046240177
817.1,0.042166018
817.7,0.049520867
818.4,0.042700084
819.1,0.042990005
819.7,0.041113146
820.4,0.03964828
821.1,0.04649958
821.7,0.036886397
822.4,0.035040055
823.1,0.03948043
823.7,0.043829252
824.4,0.041311513
825.1,0.041113146
825.7,0.041738766
826.4,0.040838483
827.1,0.038976883
827.7,0.041937133
828.4,0.039343099
829.1,0.042791638
829.7,0.044531167
830.4,0.046285954
831.1,0.036855879
831.7,0.041723507
832.4,0.039694057
833.1,0.038809033
833.7,0.039129473
834.4,0.039831388
835.1,0.039755093
835.7,0.037252613
836.4,0.040350195
837.1,0.040792706
837.7,0.039053178
838.4,0.040289158
839.1,0.040365454
839.7,0.042669566
840.4,0.040380713
841.1,0.036504921
841.7,0.043035782
842.4,0.041570916
843.1,0.037908751
843.7,0.038595407
844.4,0.043371481
845.1,0.034917983
845.7,0.039739834
846.4,0.034536507
847.1,0.041479362
847.7,0.034368658
848.4,0.040060273
849.1,0.041525139
849.7,0.039053178
850.4,0.036153964
851.1,0.040014496
851.7,0.042776379
852.4,0.038000305
853.1,0.038305486
853.7,0.035223163
854.4,0.039312581
855.1,0.039877165
855.7,0.035040055
856.4,0.040960555
857.1,0.033910887
857.7,0.034139773
858.4,0.035101091
859.1,0.034032959
859.7,0.031713588
860.4,0.034597543
861.1,0.036016632
861.7,0.034673838
862.4,0.029333181
863.1,0.033300526
863.7,0.035574121
864.4,0.031255818
865.1,0.038763256
865.8,0.032369726
866.4,0.033285267
867.1,0.037466239
867.7,0.034368658
868.4,0.03012665
869.1,0.029058518
869.7,0.030340276
870.4,0.031133745
871.1,0.034048219
871.7,0.03168307
872.4,0.034689097
873.1,0.029485771
873.7,0.031927214
874.4,0.034307622
875.1,0.032476539
875.7,0.035543603
876.4,0.035055314
877.1,0.032827497
877.7,0.035314717
878.4,0.036749065
879.1,0.032873274
879.7,0.033498894
880.4,0.035131609
881.1,0.029333181
881.7,0.032980087
882.4,0.033270008
883.1,0.024862287
883.7,0.028326085
884.4,0.038015564
885.1,0.0280972
885.7,0.031011673
886.4,0.030386053
887.1,0.030096132
887.7,0.030721752
888.4,0.02872282
889.1,0.028692302
889.7,0.026464485
890.4,0.028371862
